date,mmm yy,week no,day_type
date,22-May,W 19,weekend
date,22-May,W 19,weekeday
date,22-May,W 19,weekeday
date,22-May,W 19,weekeday
date,22-May,W 19,weekeday
date,22-May,W 19,weekeday
date,22-May,W 19,weekend
date,22-May,W 20,weekend
date,22-May,W 20,weekeday
date,22-May,W 20,weekeday
date,22-May,W 20,weekeday
date,22-May,W 20,weekeday
date,22-May,W 20,weekeday
date,22-May,W 20,weekend
date,22-May,W 21,weekend
date,22-May,W 21,weekeday
date,22-May,W 21,weekeday
date,22-May,W 21,weekeday
date,22-May,W 21,weekeday
date,22-May,W 21,weekeday
date,22-May,W 21,weekend
date,22-May,W 22,weekend
date,22-May,W 22,weekeday
date,22-May,W 22,weekeday
date,22-May,W 22,weekeday
date,22-May,W 22,weekeday
date,22-May,W 22,weekeday
date,22-May,W 22,weekend
date,22-May,W 23,weekend
date,22-May,W 23,weekeday
date,22-May,W 23,weekeday
date,22-Jun,W 23,weekeday
date,22-Jun,W 23,weekeday
date,22-Jun,W 23,weekeday
date,22-Jun,W 23,weekend
date,22-Jun,W 24,weekend
date,22-Jun,W 24,weekeday
date,22-Jun,W 24,weekeday
date,22-Jun,W 24,weekeday
date,22-Jun,W 24,weekeday
date,22-Jun,W 24,weekeday
date,22-Jun,W 24,weekend
date,22-Jun,W 25,weekend
date,22-Jun,W 25,weekeday
date,22-Jun,W 25,weekeday
date,22-Jun,W 25,weekeday
date,22-Jun,W 25,weekeday
date,22-Jun,W 25,weekeday
date,22-Jun,W 25,weekend
date,22-Jun,W 26,weekend
date,22-Jun,W 26,weekeday
date,22-Jun,W 26,weekeday
date,22-Jun,W 26,weekeday
date,22-Jun,W 26,weekeday
date,22-Jun,W 26,weekeday
date,22-Jun,W 26,weekend
date,22-Jun,W 27,weekend
date,22-Jun,W 27,weekeday
date,22-Jun,W 27,weekeday
date,22-Jun,W 27,weekeday
date,22-Jun,W 27,weekeday
date,22-Jul,W 27,weekeday
date,22-Jul,W 27,weekend
date,22-Jul,W 28,weekend
date,22-Jul,W 28,weekeday
date,22-Jul,W 28,weekeday
date,22-Jul,W 28,weekeday
date,22-Jul,W 28,weekeday
date,22-Jul,W 28,weekeday
date,22-Jul,W 28,weekend
date,22-Jul,W 29,weekend
date,22-Jul,W 29,weekeday
date,22-Jul,W 29,weekeday
date,22-Jul,W 29,weekeday
date,22-Jul,W 29,weekeday
date,22-Jul,W 29,weekeday
date,22-Jul,W 29,weekend
date,22-Jul,W 30,weekend
date,22-Jul,W 30,weekeday
date,22-Jul,W 30,weekeday
date,22-Jul,W 30,weekeday
date,22-Jul,W 30,weekeday
date,22-Jul,W 30,weekeday
date,22-Jul,W 30,weekend
date,22-Jul,W 31,weekend
date,22-Jul,W 31,weekeday
date,22-Jul,W 31,weekeday
date,22-Jul,W 31,weekeday
date,22-Jul,W 31,weekeday
date,22-Jul,W 31,weekeday
date,22-Jul,W 31,weekend
date,22-Jul,W 32,weekend
