booking_id,propeHRTy_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012211258HRT11,11258,27/04/22,01/05/22,02/05/22,3,HRT1,direct online,1,Checked Out,10010,10010
May012211258HRT12,11258,30/04/22,01/05/22,02/05/22,2,HRT1,others,,Cancelled,9100,3640
May012211258HRT13,11258,28/04/22,01/05/22,04/05/22,2,HRT1,gotrip,5,Checked Out,9100,9100
May012211258HRT14,11258,28/04/22,01/05/22,02/05/22,2,HRT1,others,,Cancelled,9100,3640
May012211258HRT15,11258,27/04/22,01/05/22,02/05/22,4,HRT1,direct online,5,Checked Out,10920,10920
May012211258HRT16,11258,01/05/22,01/05/22,03/05/22,2,HRT1,others,4,Checked Out,9100,9100
May012211258HRT17,11258,28/04/22,01/05/22,06/05/22,2,HRT1,others,,Cancelled,9100,3640
May012211258HRT18,11258,26/04/22,01/05/22,03/05/22,2,HRT1,gotrip,,No Show,9100,9100
May012211258HRT19,11258,30/04/22,01/05/22,02/05/22,2,HRT1,Booker,,Checked Out,9100,9100
May012211258HRT110,11258,28/04/22,01/05/22,02/05/22,1,HRT1,others,4,Checked Out,9100,9100
May012211258HRT111,11258,29/04/22,01/05/22,07/05/22,1,HRT1,Makeyourtrip,5,Checked Out,9100,9100
May012211258HRT112,11258,26/04/22,01/05/22,02/05/22,2,HRT1,gotrip,5,Checked Out,9100,9100
May012211258HRT113,11258,26/04/22,01/05/22,07/05/22,2,HRT1,Makeyourtrip,5,Checked Out,9100,9100
May012211258HRT114,11258,30/04/22,01/05/22,05/05/22,1,HRT1,gotrip,,Cancelled,9100,3640
May012211258HRT115,11258,29/04/22,01/05/22,02/05/22,2,HRT1,others,,Checked Out,9100,9100
May012211258HRT116,11258,27/04/22,01/05/22,03/05/22,4,HRT1,Travelex,,Checked Out,10920,10920
May012211258HRT117,11258,29/04/22,01/05/22,02/05/22,3,HRT1,direct offline,,Checked Out,10010,10010
May012211258HRT118,11258,27/04/22,01/05/22,02/05/22,2,HRT1,others,,Checked Out,9100,9100
May012211258HRT21,11258,07/04/22,01/05/22,06/05/22,2,HRT2,others,,Checked Out,12600,12600
May012211258HRT22,11258,30/04/22,01/05/22,03/05/22,2,HRT2,others,5,Checked Out,12600,12600
May012211258HRT23,11258,10/04/22,01/05/22,07/05/22,1,HRT2,Makeyourtrip,,Checked Out,12600,12600
May012211258HRT24,11258,29/04/22,01/05/22,03/05/22,3,HRT2,others,,Cancelled,13860,5544
May012211258HRT25,11258,26/04/22,01/05/22,02/05/22,1,HRT2,direct offline,,Cancelled,12600,5040
May012211258HRT26,11258,27/04/22,01/05/22,02/05/22,2,HRT2,direct offline,4,Checked Out,12600,12600
May012211258HRT27,11258,26/04/22,01/05/22,07/05/22,3,HRT2,direct offline,,Cancelled,13860,5544
May012211258HRT28,11258,01/05/22,01/05/22,02/05/22,2,HRT2,others,,Checked Out,12600,12600
May012211258HRT29,11258,25/04/22,01/05/22,02/05/22,2,HRT2,gotrip,,Checked Out,12600,12600
May012211258HRT210,11258,27/04/22,01/05/22,02/05/22,2,HRT2,others,4,Checked Out,12600,12600
May012211258HRT211,11258,30/04/22,01/05/22,07/05/22,2,HRT2,Makeyourtrip,,Cancelled,12600,5040
May012211258HRT212,11258,27/04/22,01/05/22,02/05/22,2,HRT2,others,5,Checked Out,12600,12600
May012211258HRT213,11258,29/04/22,01/05/22,02/05/22,2,HRT2,gotrip,4,Checked Out,12600,12600
May012211258HRT214,11258,26/04/22,01/05/22,03/05/22,4,HRT2,others,4,Checked Out,15120,15120
May012211258HRT215,11258,29/04/22,01/05/22,04/05/22,2,HRT2,direct offline,,No Show,12600,12600
May012211258HRT216,11258,28/04/22,01/05/22,03/05/22,1,HRT2,others,5,Checked Out,12600,12600
May012211258HRT217,11258,29/04/22,01/05/22,07/05/22,4,HRT2,Makeyourtrip,,Cancelled,15120,6048
May012211258HRT218,11258,24/04/22,01/05/22,02/05/22,1,HRT2,gotrip,5,Checked Out,12600,12600
